paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
1,1,"1,725","1,735",2010-01-04 09:23:00.0,Abertura
1,1,"1,728","1,73",2010-01-04 09:30:00.0,Intermediário
1,1,"1,727","1,729",2010-01-04 10:00:00.0,Intermediário
1,1,"1,728","1,73",2010-01-04 10:30:00.0,Intermediário
1,1,"1,728","1,73",2010-01-04 11:00:00.0,Intermediário
1,1,"1,73","1,732",2010-01-04 11:30:00.0,Intermediário
1,1,"1,728","1,73",2010-01-04 12:00:00.0,Intermediário
1,1,"1,726","1,728",2010-01-04 12:30:00.0,Intermediário
1,1,"1,725","1,727",2010-01-04 13:00:00.0,Intermediário
1,1,"1,725","1,727",2010-01-04 13:30:00.0,Intermediário
1,1,"1,723","1,725",2010-01-04 14:00:00.0,Intermediário
1,1,"1,723","1,725",2010-01-04 14:30:00.0,Intermediário
1,1,"1,72","1,722",2010-01-04 15:00:00.0,Intermediário
1,1,"1,721","1,723",2010-01-04 15:30:00.0,Intermediário
1,1,"1,72","1,722",2010-01-04 16:00:00.0,Intermediário
1,1,"1,718","1,72",2010-01-04 16:30:00.0,Fechamento Interbancário
1,1,"1,7232","1,724",2010-01-04 17:37:00.0,Fechamento
1,1,"1,717","1,727",2010-01-05 09:22:00.0,Abertura
1,1,"1,721","1,723",2010-01-05 09:30:00.0,Intermediário
1,1,"1,721","1,723",2010-01-05 10:00:00.0,Intermediário
1,1,"1,719","1,721",2010-01-05 10:30:00.0,Intermediário
1,1,"1,715","1,717",2010-01-05 11:00:00.0,Intermediário
1,1,"1,718","1,72",2010-01-05 11:30:00.0,Intermediário
1,1,"1,72","1,722",2010-01-05 12:00:00.0,Intermediário
1,1,"1,724","1,726",2010-01-05 12:30:00.0,Intermediário
1,1,"1,724","1,726",2010-01-05 13:00:00.0,Intermediário
1,1,"1,724","1,726",2010-01-05 13:30:00.0,Intermediário
1,1,"1,724","1,726",2010-01-05 14:00:00.0,Intermediário
1,1,"1,724","1,726",2010-01-05 14:30:00.0,Intermediário
1,1,"1,728","1,73",2010-01-05 15:00:00.0,Intermediário
1,1,"1,728","1,73",2010-01-05 15:30:00.0,Intermediário
1,1,"1,727","1,729",2010-01-05 16:00:00.0,Intermediário
1,1,"1,729","1,731",2010-01-05 16:30:00.0,Fechamento Interbancário
1,1,"1,7219","1,7227",2010-01-05 17:35:00.0,Fechamento
1,1,"1,73","1,74",2010-01-06 09:22:00.0,Abertura
1,1,"1,734","1,736",2010-01-06 09:30:00.0,Intermediário
1,1,"1,734","1,736",2010-01-06 10:00:00.0,Intermediário
1,1,"1,736","1,738",2010-01-06 10:30:00.0,Intermediário
1,1,"1,73","1,732",2010-01-06 11:00:00.0,Intermediário
1,1,"1,733","1,735",2010-01-06 11:30:00.0,Intermediário
1,1,"1,733","1,735",2010-01-06 12:00:00.0,Intermediário
1,1,"1,735","1,737",2010-01-06 12:30:00.0,Intermediário
1,1,"1,733","1,735",2010-01-06 13:00:00.0,Intermediário
1,1,"1,73","1,732",2010-01-06 13:30:00.0,Intermediário
1,1,"1,73","1,732",2010-01-06 14:00:00.0,Intermediário
1,1,"1,728","1,73",2010-01-06 14:30:00.0,Intermediário
1,1,"1,727","1,729",2010-01-06 15:00:00.0,Intermediário
1,1,"1,73","1,732",2010-01-06 15:30:00.0,Intermediário
